TYPE,IDENT,LAT,LONG,Y_PROJ,X_PROJ,ALTITUDE
WAYPOINT,17419,10.62953649,-4.55620986,1175444.124,329765.2614,298.00
WAYPOINT,17420,10.62855866,-4.55641623,1175336.083,329742.1392,310.00
WAYPOINT,17421,10.62822481,-4.55617449,1175299.025,329768.4044,310.00
WAYPOINT,17422,10.62763992,-4.55595262,1175234.211,329792.3565,314.00
WAYPOINT,17423,10.62741277,-4.55597567,1175209.099,329789.7086,299.00
WAYPOINT,17424,10.6270013,-4.55571768,1175163.447,329817.709,298.00
WAYPOINT,17425,10.62671447,-4.55569999,1175131.712,329819.4857,297.00
WAYPOINT,17426,10.6266195,-4.55556186,1175121.132,329834.5469,298.00
WAYPOINT,17427,10.62675362,-4.55554862,1175135.959,329836.0698,299.00
WAYPOINT,17428,10.62656888,-4.555456,1175115.475,329846.1017,298.00
WAYPOINT,17429,10.62689351,-4.55535843,1175151.328,329856.9573,299.00
WAYPOINT,17430,10.62667307,-4.55455746,1175126.507,329944.4748,303.00
WAYPOINT,17431,10.62661188,-4.55434648,1175119.624,329967.5257,303.00
WAYPOINT,17432,10.62656888,-4.55410182,1175114.734,329994.2718,301.00
WAYPOINT,17433,10.62661498,-4.55359639,1175119.556,330049.5998,301.00
WAYPOINT,17434,10.62730171,-4.55399386,1175195.73,330006.49,300.00
WAYPOINT,17435,10.62793077,-4.55469802,1175265.693,329929.7915,297.00
WAYPOINT,17436,10.62782088,-4.55464605,1175253.51,329935.417,298.00
WAYPOINT,17437,10.62769809,-4.55392462,1175239.534,330014.2853,298.00
WAYPOINT,17438,10.62748116,-4.5534917,1175215.303,330061.5338,292.00
WAYPOINT,17439,10.6270531,-4.55335222,1175167.881,330076.5585,290.00
WAYPOINT,17440,10.62682008,-4.55290647,1175141.864,330125.202,295.00
WAYPOINT,17441,10.62713809,-4.5528478,1175177.005,330131.7974,295.00
WAYPOINT,17442,10.62764402,-4.55282953,1175232.954,330134.0762,287.00
WAYPOINT,17443,10.62788182,-4.55267069,1175259.169,330151.5873,290.00
WAYPOINT,17444,10.62815281,-4.55269449,1175289.156,330149.1331,288.00
WAYPOINT,17445,10.62837442,-4.55293514,1175313.799,330122.9246,288.00
WAYPOINT,17446,10.62823319,-4.55297386,1175298.199,330118.6099,287.00
WAYPOINT,17447,10.62838582,-4.55334459,1175315.284,330078.1305,286.00
WAYPOINT,17448,10.62828172,-4.55366503,1175303.945,330043.0116,286.00
WAYPOINT,17449,10.62818374,-4.55350427,1175293.02,330060.5472,289.00
WAYPOINT,17450,10.62808927,-4.55367937,1175282.667,330041.3361,292.00
WAYPOINT,17451,10.62803236,-4.5539983,1175276.547,330006.4085,290.00
WAYPOINT,17452,10.62821039,-4.55392211,1175296.196,330014.8434,288.00
WAYPOINT,17453,10.62825859,-4.55412151,1175301.636,329993.0525,292.00
WAYPOINT,17454,10.62855396,-4.55395681,1175334.216,330011.2368,288.00
WAYPOINT,17455,10.62853443,-4.55366747,1175331.897,330042.8845,287.00
WAYPOINT,17456,10.62866008,-4.55376813,1175345.85,330031.9402,285.00
WAYPOINT,17457,10.62887776,-4.55378825,1175369.938,330029.8592,286.00
WAYPOINT,17458,10.62903349,-4.55399008,1175387.273,330007.862,285.00
WAYPOINT,17459,10.62916953,-4.55383024,1175402.232,330025.4263,284.00
WAYPOINT,17460,10.62908001,-4.55362656,1175392.219,330047.6626,287.00
WAYPOINT,17461,10.62930943,-4.55345683,1175417.502,330066.3607,288.00
WAYPOINT,17462,10.62939157,-4.55323404,1175426.465,330090.7828,286.00
WAYPOINT,17463,10.62912343,-4.55320671,1175396.792,330093.6248,287.00
WAYPOINT,17464,10.62898999,-4.55328634,1175382.076,330084.8382,285.00
WAYPOINT,17465,10.62878849,-4.55338449,1175359.843,330073.9876,294.00
WAYPOINT,17466,10.62857727,-4.5533679,1175336.472,330075.6859,289.00
WAYPOINT,17467,10.62857953,-4.55315131,1175336.603,330099.3856,289.00
WAYPOINT,17468,10.62874775,-4.55314125,1175355.204,330100.5794,290.00
WAYPOINT,17469,10.62907523,-4.55281109,1175391.245,330136.8853,286.00
WAYPOINT,17470,10.62909569,-4.55262979,1175393.408,330156.7337,289.00
WAYPOINT,17471,10.62876871,-4.55280514,1175357.338,330137.3668,288.00
WAYPOINT,17472,10.62879947,-4.5526302,1175360.645,330156.525,286.00
WAYPOINT,17473,10.62859939,-4.55266742,1175338.535,330152.3419,290.00
WAYPOINT,17474,10.62857333,-4.55254848,1175335.588,330165.3415,283.00
WAYPOINT,17475,10.62826311,-4.55252795,1175301.264,330167.4162,288.00
WAYPOINT,17476,10.62863653,-4.55234354,1175342.466,330187.8001,285.00
WAYPOINT,17477,10.62874775,-4.55244991,1175354.826,330176.223,286.00
WAYPOINT,17478,10.62888656,-4.55235452,1175370.127,330186.737,289.00
WAYPOINT,17479,10.62825247,-4.55219577,1175299.906,330203.7562,287.00
WAYPOINT,17480,10.62804954,-4.55215319,1175277.437,330208.303,289.00
WAYPOINT,17481,10.62791568,-4.55236366,1175262.747,330185.2001,295.00
WAYPOINT,17482,10.62781284,-4.55213157,1175251.245,330210.5377,288.00
WAYPOINT,17483,10.62781678,-4.55239174,1175251.823,330182.0731,287.00
WAYPOINT,17484,10.62756591,-4.55237322,1175224.065,330183.9608,287.00
WAYPOINT,17485,10.62725435,-4.55249945,1175189.674,330169.9769,289.00
WAYPOINT,17486,10.62693911,-4.55261193,1175154.868,330157.4954,291.00
WAYPOINT,17487,10.62701756,-4.55240096,1175163.43,330180.6224,285.00
WAYPOINT,17488,10.6271702,-4.5521371,1175180.168,330209.5774,297.00
WAYPOINT,17489,10.6272344,-4.55229652,1175187.356,330192.1697,295.00
WAYPOINT,17490,10.62746742,-4.55229015,1175213.126,330192.9955,295.00
WAYPOINT,17491,10.62772466,-4.55201313,1175241.427,330223.4482,296.00
WAYPOINT,17492,10.62772935,-4.55217716,1175242.035,330205.5033,291.00
WAYPOINT,17493,10.62753967,-4.55167911,1175220.783,330259.8932,285.00
WAYPOINT,17494,10.62789699,-4.55096958,1175259.917,330337.7248,287.00
WAYPOINT,17495,10.62794644,-4.55190559,1175265.898,330235.3374,288.00
WAYPOINT,17496,10.62816865,-4.5517807,1175290.408,330249.1252,288.00
WAYPOINT,17497,10.62849462,-4.55186795,1175326.51,330239.7588,284.00
WAYPOINT,17498,10.62847828,-4.55171012,1175324.616,330257.0189,287.00
WAYPOINT,17499,10.62862353,-4.55167777,1175340.664,330260.6388,289.00
WAYPOINT,17500,10.62865991,-4.55150343,1175344.593,330279.7345,289.00
WAYPOINT,17501,10.62871431,-4.5519972,1175350.879,330225.7382,286.00
WAYPOINT,17502,10.62884867,-4.55182688,1175365.647,330244.4482,289.00
WAYPOINT,17503,10.6296452,-4.55151742,1175453.579,330278.7482,287.00
WAYPOINT,17504,10.62954806,-4.55160015,1175442.88,330269.6426,289.00
WAYPOINT,17505,10.62982726,-4.55139102,1175473.647,330292.6789,288.00
WAYPOINT,17506,10.63105068,-4.55212335,1175609.365,330213.2271,291.00
WAYPOINT,17507,10.63108186,-4.55251252,1175613.026,330170.6632,289.00
WAYPOINT,17508,10.63147707,-4.5519387,1175656.425,330233.6663,290.00
WAYPOINT,17509,10.63118136,-4.55348415,1175624.563,330064.4072,289.00
WAYPOINT,17510,10.62912938,-4.54941315,1175395.377,330508.7034,286.00
WAYPOINT,17511,10.63052899,-4.5495921,1175550.279,330489.8959,287.00
WAYPOINT,17512,10.63068314,-4.54845694,1175566.71,330614.1847,292.00
WAYPOINT,17513,10.63365586,-4.54910427,1175895.863,330544.9976,300.00
WAYPOINT,17514,10.63366299,-4.54931969,1175896.769,330521.4316,300.00
WAYPOINT,17515,10.63413011,-4.54896337,1175948.241,330560.6758,300.00
WAYPOINT,17516,10.63410304,-4.54796324,1175944.701,330670.0889,301.00
WAYPOINT,17517,10.63117884,-4.54669096,1175620.574,330807.6825,299.00
WAYPOINT,17518,10.63104448,-4.54647671,1175605.596,330831.0506,289.00
WAYPOINT,17519,10.63125,-4.54634554,1175628.256,330845.5158,296.00
WAYPOINT,17520,10.63162602,-4.54630472,1175669.824,330850.1892,299.00
WAYPOINT,17521,10.6318245,-4.54615544,1175691.696,330866.6319,295.00
WAYPOINT,17522,10.63192994,-4.5460427,1175703.297,330879.0254,299.00
WAYPOINT,17523,10.63258641,-4.54580013,1175775.774,330905.9276,300.00
WAYPOINT,17524,10.63277576,-4.54582812,1175796.732,330902.9694,300.00
WAYPOINT,17525,10.63325646,-4.54568278,1175849.821,330919.1364,302.00
WAYPOINT,17526,10.63346886,-4.54538053,1175873.149,330952.3237,302.00
WAYPOINT,17527,10.63362183,-4.54531725,1175890.034,330959.3316,301.00
WAYPOINT,17528,10.63369283,-4.54584044,1175898.172,330902.1265,302.00
WAYPOINT,17529,10.63389106,-4.54580876,1175920.08,330905.7019,302.00
WAYPOINT,17530,10.63401075,-4.54568949,1175933.253,330918.8176,303.00
WAYPOINT,17531,10.63441736,-4.54577641,1175978.274,330909.5313,302.00
WAYPOINT,17532,10.63436422,-4.54554155,1175972.269,330935.1989,305.00
WAYPOINT,17533,10.63439389,-4.54532621,1175975.433,330958.7764,304.00
WAYPOINT,17534,10.63416037,-4.54530777,1175949.594,330960.6654,305.00
WAYPOINT,17535,10.63401134,-4.54525321,1175933.081,330966.553,302.00
WAYPOINT,17536,10.6339587,-4.54517735,1175927.217,330974.8241,306.00
WAYPOINT,17537,10.63410287,-4.54501131,1175943.073,330993.0705,301.00
WAYPOINT,17538,10.63390799,-4.54499404,1175921.509,330994.8528,304.00
WAYPOINT,17539,10.63364999,-4.54489555,1175892.919,331005.487,302.00
WAYPOINT,17540,10.63366039,-4.54477477,1175894.003,331018.7077,302.00
WAYPOINT,17541,10.63397035,-4.54452943,1175928.153,331045.7219,302.00
WAYPOINT,17542,10.63458868,-4.54400171,1175996.257,331103.8018,305.00
WAYPOINT,17543,10.63412868,-4.54384664,1175945.294,331120.5155,304.00
WAYPOINT,17544,10.63406976,-4.54375234,1175938.725,331130.8008,305.00
WAYPOINT,17545,10.63375686,-4.54392501,1175904.211,331111.7362,298.00
WAYPOINT,17546,10.63370858,-4.54416582,1175899.002,331085.3617,302.00
WAYPOINT,17547,10.63348085,-4.5442193,1175873.843,331079.385,302.00
WAYPOINT,17548,10.63337733,-4.5437904,1175862.16,331126.2557,301.00
WAYPOINT,17549,10.63308841,-4.54408796,1175830.365,331093.5395,301.00
WAYPOINT,17550,10.63316016,-4.54431544,1175838.425,331068.6895,303.00
WAYPOINT,17551,10.63330491,-4.54465742,1175854.621,331031.3518,304.00
WAYPOINT,17552,10.63334959,-4.54493478,1175859.714,331001.0293,301.00
WAYPOINT,17553,10.63306435,-4.54484358,1175828.116,331010.8509,300.00
WAYPOINT,17554,10.63290451,-4.54464359,1175810.327,331032.6446,298.00
WAYPOINT,17555,10.63292907,-4.54407773,1175812.736,331094.5712,304.00
WAYPOINT,17556,10.6328227,-4.54406993,1175800.967,331095.3661,302.00
WAYPOINT,17557,10.63259396,-4.54479908,1175776.064,331015.4609,295.00
WAYPOINT,17558,10.63241576,-4.54494207,1175756.431,330999.7177,301.00
WAYPOINT,17559,10.6323746,-4.54476496,1175751.783,331019.0734,303.00
WAYPOINT,17560,10.63209565,-4.54500183,1175721.058,330993.0029,301.00
