year,Tube,preservant,numfich,tube_id,date,month,village,method,position,compound_id,na1,na2,espece,stade,sexe,condit,initiale Nb of mosquitoes available ,Nb used for ELISA,num_elisa_corrected,available,sampled for Tristan,to_sample,parturit,Cluster,study
2015,"EPPENDORF 1,5ml",Silicagel,1,8,42186,07,YABLE I,CDC,INT,290,NA,20H-06H,GA,ADULTE,F,AJ,10,4,4,6,6,6,NA,4,
2014,"EPPENDORF 1,5ml",Silicagel,31,1167,41901,09,BOLOMAKOTE,CDC,INT,213,,,An GA,ADULTE,F,AJ,10,4,4,6,6,6,P,9,WP6
2015,"EPPENDORF 1,5ml",Silicagel,2,46,42197,07,MOSSIBOUGOU,CDC,INT,294,NA,20H-06H,GA,ADULTE,F,AJ,9,3,3,6,6,6,NA,10,
2015,"EPPENDORF 1,5ml",Silicagel,5,122,42254,09,SANHOUNOU,CDC,INT,236,NA,20H-06H,GA,ADULTE,F,AJ,23,8,8,15,6,6,NA,12,
2014,"EPPENDORF 1,5ml",Silicagel,18,515,41866,08,LOMBO,CDC,INT,237,,,An GA,ADULTE,F,AJ,7,1,1,6,6,6,NA,18,WP6
2014,"EPPENDORF 1,5ml",Silicagel,18,514,41866,08,LOMBO,CDC,INT,237,,,An GA,ADULTE,F,AJ,7,1,1,6,6,6,NA,18,WP6
2014,"EPPENDORF 1,5ml",Silicagel,12,237,41843,07,SAKORA I,CDC,INT,70,,,An GA,ADULTE,F,AJ,8,2,2,6,6,6,NA,29,WP6
2015,"EPPENDORF 1,5ml",Silicagel,6,130,42257,09,KOFLANDE,CDC,INT,68,NA,20H-06H,GA,ADULTE,F,AJ,20,8,8,12,6,6,NA,37,
2015,"EPPENDORF 1,5ml",Silicagel,4,93,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,16,10,10,6,6,6,NA,39,
2014,FALCON 14ml,Silicagel,3,105,41883,09,KANGOUNABA II,CDC,INT,31,,,An GA,ADULTE,F,AJ,79,21,21,58,7,7,NA,1,WP6
2014,FALCON 14ml,Silicagel,3,111,41885,09,BOUNOUMBA,CDC,INT,344,,,An GA,ADULTE,F,AJ,17,4,4,13,7,7,NA,4,WP6
2015,"EPPENDORF 1,5ml",Silicagel,5,125,42254,09,TIEFORA II,CDC,INT,853,NA,20H-06H,GA,ADULTE,F,AJ,13,6,6,7,7,7,NA,11,
2015,"EPPENDORF 1,5ml",Silicagel,1,21,42192,07,KANKOUNADENI,CDC,INT,91,NA,20H-06H,GA,ADULTE,F,AJ,7,,,7,7,7,NA,36,
2015,"EPPENDORF 1,5ml",Silicagel,2,44,42197,07,NATIERA,CDC,INT,18,NA,20H-06H,GA,ADULTE,F,AJ,8,,,8,8,8,NA,10,
2015,"EPPENDORF 1,5ml",Silicagel,5,112,42250,09,NATIERA,CDC,INT,68,NA,20H-06H,GA,ADULTE,F,AJ,80,28,28,52,8,8,NA,10,
2014,"EPPENDORF 1,5ml",Silicagel,28,1019,41893,09,BOUNOUBA,CDC,INT,22,,,An GA,ADULTE,F,AJ,13,5,5,8,8,8,NA,39,WP6
2015,"EPPENDORF 1,5ml",Silicagel,4,89,42258,09,DANDOUGOU,CDC,INT,40,NA,20H-06H,GA,ADULTE,F,AJ,9,,,9,9,9,NA,2,
2015,"EPPENDORF 1,5ml",Silicagel,4,99,42199,07,TIEFORA II,CDC,INT,850,NA,20H-06H,GA,ADULTE,F,AJ,15,6,6,9,9,9,NA,11,
2014,FALCON 14ml,Silicagel,4,170,41899,09,SISRANKA,CDC,INT,89,,,An GA,ADULTE,F,AJ,44,14,14,30,9,9,NA,29,WP6
2015,"EPPENDORF 1,5ml",Silicagel,4,94,42194,07,BOUNOUBA,CDC,INT,10,NA,20H-06H,GA,ADULTE,F,AJ,17,7,7,10,9,9,NA,39,
2014,FALCON 14ml,Silicagel,1,37,41894,09,LOMBO,CDC,INT,234,,,An GA,ADULTE,F,AJ,169,57,57,112,10,10,NA,18,WP6
