Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
142_220322_L001.srt.dp_stats	88116401.0	14162156.0	36022220.0	20486564.0	31839473.0	19869046.0	23488850.0	15039864.0	15043991.0	9651968.0	8621327.0	5590896.0	4629012.0	3033296.0	2401777.0	1598832.0	1244052.0	864367.0	668540.0	483635.0	379687.0	289897.0	234447.0	186596.0	154183.0	126254.0	109349.0	92401.0	81255.0	69931.0	62521.0	56157.0	49730.0	45547.0	41846.0	37958.0	34055.0	31182.0	28652.0	26860.0	24817.0	23993.0	21657.0	20853.0	19764.0	18360.0	17412.0	16665.0	15726.0	14664.0	13916.0
145_220322_L001.srt.dp_stats	76629828.0	2779942.0	31816036.0	4946304.0	35577985.0	6484687.0	34012302.0	6762282.0	28168159.0	5980086.0	20738678.0	4685992.0	13925950.0	3360081.0	8737250.0	2276742.0	5215522.0	1482641.0	3037600.0	946020.0	1752541.0	616025.0	1027339.0	409876.0	623220.0	279510.0	399765.0	198407.0	265366.0	146555.0	185424.0	110776.0	136140.0	86226.0	103727.0	69176.0	81242.0	57970.0	66888.0	48648.0	54014.0	41625.0	45253.0	36279.0	38277.0	31844.0	33597.0	28282.0	29359.0	24759.0	26328.0
146_220322_L001.srt.dp_stats	81442113.0	3475606.0	38952782.0	6012353.0	41367746.0	7154166.0	35893581.0	6633745.0	26495187.0	5229320.0	17291179.0	3670743.0	10363367.0	2398839.0	5855251.0	1498538.0	3230346.0	937831.0	1772717.0	589366.0	1004400.0	386819.0	596874.0	262760.0	373662.0	186009.0	249422.0	135692.0	174488.0	105942.0	128522.0	82729.0	98823.0	66399.0	77356.0	55211.0	62243.0	46395.0	51461.0	39851.0	43257.0	34320.0	36891.0	30461.0	31651.0	26433.0	27681.0	23760.0	25130.0	21900.0	22566.0
147_220322_L001.srt.dp_stats	76873767.0	5144330.0	29939133.0	9135590.0	32714749.0	11505526.0	30303450.0	11362194.0	24163874.0	9490868.0	17162362.0	6992413.0	11120944.0	4696017.0	6702590.0	2951017.0	3849537.0	1790299.0	2167487.0	1075809.0	1214274.0	653655.0	700472.0	409953.0	424990.0	273160.0	273184.0	187792.0	184988.0	137693.0	131866.0	104387.0	101086.0	82779.0	78702.0	66098.0	63604.0	54797.0	52003.0	46427.0	43487.0	39055.0	36411.0	33338.0	32185.0	29050.0	27845.0	25935.0	24517.0	22358.0	21415.0
149_220322_L001.srt.dp_stats	79440291.0	4904568.0	34325009.0	8341755.0	34226841.0	10177014.0	30099746.0	9964391.0	23389309.0	8345381.0	16399397.0	6239231.0	10616761.0	4290670.0	6497799.0	2776717.0	3831914.0	1743540.0	2209803.0	1081768.0	1283907.0	680281.0	763439.0	437326.0	471451.0	291017.0	304134.0	204205.0	206967.0	147261.0	146810.0	108126.0	106721.0	84347.0	83047.0	67251.0	65463.0	54805.0	53261.0	44524.0	43766.0	38334.0	36786.0	33173.0	32268.0	27983.0	27742.0	24920.0	25055.0	22773.0	22585.0
14_220322_L001.srt.dp_stats	277475907.0	1317970.0	22299709.0	262633.0	3171879.0	74219.0	506581.0	33204.0	145482.0	21106.0	70775.0	15550.0	43247.0	11986.0	30126.0	9476.0	20430.0	7072.0	13710.0	5284.0	10059.0	3981.0	7664.0	3059.0	5423.0	2273.0	4246.0	1563.0	3314.0	1365.0	3228.0	1175.0	2504.0	976.0	2574.0	881.0	2165.0	875.0	1989.0	647.0	1987.0	661.0	1892.0	515.0	1654.0	588.0	1620.0	520.0	1612.0	475.0	1314.0
151_220322_L001.srt.dp_stats	77034773.0	4258169.0	31758912.0	7555291.0	34659569.0	9548652.0	31972666.0	9538185.0	25451359.0	8052596.0	18013306.0	6013626.0	11641376.0	4107312.0	7068191.0	2648609.0	4096267.0	1652714.0	2351531.0	1036282.0	1356168.0	658633.0	804894.0	430394.0	500572.0	294652.0	327590.0	207946.0	224228.0	153684.0	160442.0	116721.0	120168.0	91365.0	92746.0	73880.0	74608.0	60536.0	60833.0	50412.0	50169.0	42288.0	42775.0	37186.0	36663.0	32596.0	32112.0	28528.0	28115.0	25613.0	25606.0
153_220322_L001.srt.dp_stats	74811757.0	3308242.0	30590612.0	5998857.0	34682140.0	7827643.0	33047029.0	8067450.0	27165314.0	7057269.0	19825590.0	5495284.0	13220638.0	3909913.0	8267159.0	2641710.0	4959786.0	1737613.0	2919567.0	1136280.0	1730043.0	752194.0	1055653.0	510272.0	664740.0	353657.0	437398.0	254897.0	301560.0	190800.0	217592.0	146228.0	160507.0	113597.0	122800.0	92186.0	97251.0	75001.0	77316.0	62813.0	64300.0	52336.0	52832.0	44680.0	45377.0	38846.0	39336.0	34421.0	35338.0	30011.0	30530.0
156_220322_L001.srt.dp_stats	84485835.0	4062647.0	40553499.0	6894329.0	41339633.0	7979751.0	34554224.0	7213430.0	24692408.0	5537272.0	15728886.0	3804221.0	9215041.0	2429745.0	5123777.0	1494935.0	2803441.0	916714.0	1544194.0	577278.0	875786.0	371430.0	523910.0	251433.0	326061.0	174732.0	218029.0	129077.0	151995.0	97113.0	110480.0	75510.0	83678.0	59566.0	65787.0	46846.0	52663.0	39476.0	42835.0	34030.0	36709.0	29417.0	30816.0	25898.0	26659.0	23340.0	23429.0	20349.0	21129.0	18429.0	19349.0
157_220322_L001.srt.dp_stats	82851839.0	4024634.0	37354315.0	6751583.0	38453587.0	8061167.0	33320878.0	7636580.0	25013634.0	6168177.0	16777725.0	4449846.0	10381106.0	2963469.0	6062703.0	1898659.0	3461001.0	1193524.0	1953152.0	759756.0	1125894.0	494061.0	667519.0	332047.0	418661.0	231767.0	276567.0	167937.0	192004.0	126234.0	139936.0	95513.0	104195.0	77406.0	81452.0	62217.0	66463.0	51307.0	52556.0	43544.0	44186.0	37488.0	37320.0	32397.0	31627.0	28757.0	27654.0	25557.0	24536.0	22771.0	22196.0
