Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
29_220322_L001.srt.dp	results/29_220322_L001/29_220322_L001.srt.dp.bam	30576279.0	29332062.0	1928156602.0	1923026771.0	27525.3629	60.0	40.0223	0.021	6.3033	95.9307769267804
2_220322_L001.srt.dp	results/2_220322_L001/2_220322_L001.srt.dp.bam	23472735.0	22452999.0	1481816820.0	1477461075.0	39907.0177	59.0	40.3004	0.023	4.8442	95.65565751072468
301_220322_L001.srt.dp	results/301_220322_L001/301_220322_L001.srt.dp.bam	18399444.0	17479135.0	1174143068.0	1170482984.0	35365.978	61.0	40.5149	0.0242	3.8384	94.99816950990476
304_220322_L001.srt.dp	results/304_220322_L001/304_220322_L001.srt.dp.bam	19650399.0	18708809.0	1219655927.0	1216098128.0	42436.1826	59.0	39.9748	0.0229	3.9871	95.20829068152764
305_220322_L001.srt.dp	results/305_220322_L001/305_220322_L001.srt.dp.bam	19540849.0	18804493.0	1289477008.0	1285644741.0	60657.7825	63.0	40.7808	0.0219	4.2154	96.23170927731952
306_220322_L001.srt.dp	results/306_220322_L001/306_220322_L001.srt.dp.bam	21438333.0	20394145.0	1423287649.0	1418762947.0	62070.4225	64.0	40.574	0.0241	4.6528	95.12934144646414
308_220322_L001.srt.dp	results/308_220322_L001/308_220322_L001.srt.dp.bam	26629439.0	25248682.0	1608348200.0	1604180839.0	28945.8337	58.0	40.2779	0.0213	5.2578	94.81492268763154
309_220322_L001.srt.dp	results/309_220322_L001/309_220322_L001.srt.dp.bam	21289860.0	20302666.0	1371629247.0	1367369503.0	46039.394	62.0	40.3522	0.0241	4.484	95.3630789493214
30_220322_L001.srt.dp	results/30_220322_L001/30_220322_L001.srt.dp.bam	30025289.0	27929107.0	1821752532.0	1816902165.0	30004.2953	59.0	39.9867	0.0211	5.9554	93.01861174425332
310_220322_L001.srt.dp	results/310_220322_L001/310_220322_L001.srt.dp.bam	26297518.0	24715863.0	1603902435.0	1599192958.0	37994.0897	59.0	40.0869	0.0232	5.2433	93.98553506076125
311_220322_L001.srt.dp	results/311_220322_L001/311_220322_L001.srt.dp.bam	17311182.0	12545964.0	772880596.0	770730668.0	21302.8426	56.0	39.8925	0.0219	2.5266	72.47317947439984
313_220322_L001.srt.dp	results/313_220322_L001/313_220322_L001.srt.dp.bam	20914868.0	19954888.0	1332187046.0	1328430551.0	52538.305	61.0	40.1276	0.0223	4.355	95.41005948495587
314_220322_L001.srt.dp	results/314_220322_L001/314_220322_L001.srt.dp.bam	24345343.0	16722035.0	1003660799.0	1000825355.0	39466.7204	54.0	38.9962	0.0227	3.281	68.6867915559867
315_220322_L001.srt.dp	results/315_220322_L001/315_220322_L001.srt.dp.bam	18180628.0	5864634.0	301524722.0	300713018.0	17648.5616	44.0	39.1899	0.0212	0.9857	32.257598582403205
316_220322_L001.srt.dp	results/316_220322_L001/316_220322_L001.srt.dp.bam	18130862.0	16511506.0	1172147196.0	1168650657.0	49526.9425	66.0	40.1748	0.0233	3.8318	91.06851069739541
317_220322_L001.srt.dp	results/317_220322_L001/317_220322_L001.srt.dp.bam	23157779.0	22326527.0	1683548487.0	1677914724.0	65140.455	72.0	40.9513	0.0245	5.5036	96.41048478785466
319_220322_L001.srt.dp	results/319_220322_L001/319_220322_L001.srt.dp.bam	19827050.0	19203835.0	1666801995.0	1660697573.0	72509.0491	84.0	41.7736	0.0258	5.4489	96.85674369106852
31_220322_L001.srt.dp	results/31_220322_L001/31_220322_L001.srt.dp.bam	31764783.0	30828091.0	2536474135.0	2527373278.0	40323.5029	75.0	41.6661	0.0243	8.2919	97.05116197393825
320_220322_L001.srt.dp	results/320_220322_L001/320_220322_L001.srt.dp.bam	19348549.0	18644144.0	1500206149.0	1494648960.0	59884.5057	75.0	41.5088	0.0255	4.9043	96.35939108405493
322_220322_L001.srt.dp	results/322_220322_L001/322_220322_L001.srt.dp.bam	20817293.0	13365092.0	1061112929.0	1057546048.0	68592.9535	74.0	41.1046	0.0245	3.4689	64.20187293323872
323_220322_L001.srt.dp	results/323_220322_L001/323_220322_L001.srt.dp.bam	17984765.0	13773415.0	1048455826.0	1045069820.0	54039.0557	70.0	40.7058	0.024	3.4275	76.58379189274922
329_220322_L001.srt.dp	results/329_220322_L001/329_220322_L001.srt.dp.bam	22376040.0	21216247.0	1463819429.0	1459185536.0	33576.4243	63.0	40.7043	0.0245	4.7853	94.8168085148221
330_220322_L001.srt.dp	results/330_220322_L001/330_220322_L001.srt.dp.bam	20486459.0	19146965.0	1254289462.0	1250398337.0	25641.7979	59.0	40.2869	0.0237	4.1004	93.46156405067366
331_220322_L001.srt.dp	results/331_220322_L001/331_220322_L001.srt.dp.bam	24755616.0	23075952.0	1571591044.0	1566630029.0	34966.5111	61.0	40.278	0.0244	5.1377	93.21501836189412
332_220322_L001.srt.dp	results/332_220322_L001/332_220322_L001.srt.dp.bam	25249171.0	23813054.0	1569549331.0	1564715168.0	34691.0507	60.0	40.1627	0.0237	5.131	94.31222118143998
333_220322_L001.srt.dp	results/333_220322_L001/333_220322_L001.srt.dp.bam	16050608.0	15110259.0	1129728501.0	1126130943.0	46075.5417	68.0	40.8224	0.0257	3.6932	94.14134966102219
334_220322_L001.srt.dp	results/334_220322_L001/334_220322_L001.srt.dp.bam	20623354.0	19075573.0	1298130507.0	1294062252.0	28149.2041	62.0	40.6477	0.0244	4.2437	92.49500832890712
335_220322_L001.srt.dp	results/335_220322_L001/335_220322_L001.srt.dp.bam	16516169.0	15775294.0	1123069658.0	1119398823.0	31232.6907	65.0	40.9329	0.0257	3.6714	95.51424425361596
336_220322_L001.srt.dp	results/336_220322_L001/336_220322_L001.srt.dp.bam	20054975.0	18920993.0	1209039807.0	1205729169.0	23787.6283	57.0	40.3121	0.0215	3.9524	94.34563244282279
338_220322_L001.srt.dp	results/338_220322_L001/338_220322_L001.srt.dp.bam	18911433.0	18127566.0	1250125905.0	1246311227.0	54649.9342	63.0	40.4562	0.0236	4.0868	95.85506291352961
339_220322_L001.srt.dp	results/339_220322_L001/339_220322_L001.srt.dp.bam	18220559.0	15324222.0	1075959384.0	1072291114.0	46509.7773	64.0	40.9263	0.0243	3.5174	84.10401678675171
33_220322_L001.srt.dp	results/33_220322_L001/33_220322_L001.srt.dp.bam	27048305.0	26200334.0	2068887614.0	2061906723.0	32625.7873	72.0	41.4931	0.0241	6.7634	96.8649754577967
342_220322_L001.srt.dp	results/342_220322_L001/342_220322_L001.srt.dp.bam	16565900.0	14196985.0	1037531740.0	1033811670.0	53568.1492	67.0	41.0251	0.0249	3.3918	85.70005251752093
343_220322_L001.srt.dp	results/343_220322_L001/343_220322_L001.srt.dp.bam	21326802.0	16800146.0	1145967892.0	1142145005.0	43716.0943	63.0	40.5143	0.0235	3.7463	78.77480177290529
346_220322_L001.srt.dp	results/346_220322_L001/346_220322_L001.srt.dp.bam	21012176.0	18117132.0	1286485582.0	1282461941.0	53512.4703	63.0	41.2006	0.0234	4.2056	86.22206476854181
34_220322_L001.srt.dp	results/34_220322_L001/34_220322_L001.srt.dp.bam	15351927.0	14925567.0	1217272422.0	1212803405.0	40311.6474	76.0	41.5799	0.0247	3.9794	97.22275907122278
352_220322_L001.srt.dp	results/352_220322_L001/352_220322_L001.srt.dp.bam	14650338.0	14220159.0	1285198389.0	1279965026.0	50490.6865	88.0	42.3903	0.0263	4.2014	97.06369231890758
353_220322_L001.srt.dp	results/353_220322_L001/353_220322_L001.srt.dp.bam	20540378.0	20010981.0	1851631876.0	1844267535.0	52890.5242	92.0	42.1804	0.0259	6.0531	97.42265210503915
354_220322_L001.srt.dp	results/354_220322_L001/354_220322_L001.srt.dp.bam	23434043.0	22788526.0	2064771678.0	2057153199.0	50097.6928	87.0	43.3329	0.0252	6.7499	97.24538783171133
355_220322_L001.srt.dp	results/355_220322_L001/355_220322_L001.srt.dp.bam	19029889.0	18549273.0	1682821126.0	1676289906.0	50462.9675	87.0	42.2227	0.0257	5.5013	97.47441511613651
356_220322_L001.srt.dp	results/356_220322_L001/356_220322_L001.srt.dp.bam	18448699.0	17982993.0	1635761982.0	1629415034.0	52204.6617	88.0	42.1638	0.0256	5.3474	97.47567023560848
357_220322_L001.srt.dp	results/357_220322_L001/357_220322_L001.srt.dp.bam	17573516.0	17135809.0	1587471380.0	1581228233.0	51460.9038	91.0	42.2597	0.0259	5.1896	97.5092804422291
358_220322_L001.srt.dp	results/358_220322_L001/358_220322_L001.srt.dp.bam	18660896.0	18210982.0	1708606447.0	1701628345.0	57329.9103	94.0	42.3826	0.0267	5.5856	97.58900108547842
