bamorder,sample_name,sample_metadata_id,collection_date,village,method,sample,species,conc_ng_ul,estimated_total_ng,well,cluster,lat,long,month,year,treated
223,B9_12,B9_12,14/07/2015,SANHOUROU,CDC,028-1,gambiae,4.2232,2111.6,B9,12,10.67426,-4.59349,7,2015,1
224,B9_13,B9_13,24/07/2015,BOLOMAKOTE,CDC,924-3,gambiae,2.652,1326,B9,37,10.23163,-4.4324,7,2015,0
225,B9_1,B9_1,15/08/2014,LOMBO,CDC,501-1,gambiae,1.93,964,B9,18,10.07051,-4.30001,8,2014,0
226,B9_2,B9_2,09/11/2015,DASSORPIRE,CDC,311-5,gambiae,2.35,1173.6,B9,12,10.67426,-4.59349,11,2015,1
227,B9_4,B9_4,09/09/2015,BOUSSANRA I,CDC,126-4,gambiae,1.556,778,B9,26,10.50926,-4.57797,9,2015,1
228,B9_5,B9_5,03/09/2014,FRIGARA,CDC,113a-4,gambiae,3.9836,1991.8,B9,20,10.49796,-4.46115,9,2014,0
229,B9_6,B9_6,08/09/2014,SANHOUNOU,CDC,135-13,gambiae,4.66,2332,B9,12,10.67426,-4.59349,9,2014,1
230,B9_8,B9_8,23/09/2014,KANKOUNADENI,CDC,1227-4,gambiae,3.2216,1610.8,B9,36,10.48214,-4.61734,9,2014,0
231,B9_9,B9_9,10/09/2015,KOFLANDE,CDC,129-1,gambiae,3.1068,1553.4,B9,37,10.23163,-4.4324,9,2015,1
232,bf_1019_1,A5_7,11/09/2014,BOUNOUBA,CDC,1019-1,gambiae,4.428,2214,A5,39,10.26145,-4.36408,9,2014,0
233,bf_1019_4,D5_7,11/09/2014,BOUNOUBA,CDC,1019-4,gambiae,4.8856,2442.8,D5,39,10.26145,-4.36408,9,2014,0
234,bf_1019_6,F5_7,11/09/2014,BOUNOUBA,CDC,1019-6,gambiae,4.9976,2498.8,F5,39,10.26145,-4.36408,9,2014,0
235,bf_123a_10,E3_6,07/09/2014,SOBARA II,CDC,123a-10,gambiae,3.42,1708.8,E3,3,10.25882,-4.41593,9,2014,1
236,bf_123a_11,F3_6,07/09/2014,SOBARA II,CDC,123a-11,gambiae,3.03,1513,F3,3,10.25882,-4.41593,9,2014,1
237,bf_123a_15,B4_6,07/09/2014,SOBARA II,CDC,123a-15,gambiae,3.03,1514.2,B4,3,10.25882,-4.41593,9,2014,1
238,bf_123a_16,C4_6,07/09/2014,SOBARA II,CDC,123a-16,gambiae,3.26,1627.6,C4,3,10.25882,-4.41593,9,2014,1
239,bf_123a_17,D4_6,07/09/2014,SOBARA II,CDC,123a-17,gambiae,4.35,2176.4,D4,3,10.25882,-4.41593,9,2014,1
240,bf_123a_18,E4_6,07/09/2014,SOBARA II,CDC,123a-18,gambiae,5.58,2789,E4,3,10.25882,-4.41593,9,2014,1
241,bf_123a_2,A5_6,08/09/2014,TIEFORA II,CDC,132a-2,gambiae,1.97,987.2,A5,11,10.66015,-4.51636,9,2014,1
242,bf_123a_3,B5_6,08/09/2014,TIEFORA II,CDC,132a-3,gambiae,3.28,1637.8,B5,11,10.66015,-4.51636,9,2014,1
