Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
A2_11_EKDN220028816-1A_H5J72DSX5_L1.srt.dp_stats	89065284.0	30838070.0	36375061.0	32828634.0	29765624.0	23642291.0	18477097.0	13469184.0	9684337.0	6648971.0	4527549.0	3015495.0	2003931.0	1331992.0	899224.0	613524.0	430827.0	312038.0	232404.0	179730.0	143502.0	117498.0	98895.0	82290.0	71076.0	62166.0	52964.0	46457.0	40407.0	37436.0	33755.0	30139.0	27342.0	25066.0	22110.0	21076.0	19081.0	17156.0	16183.0	14868.0	14307.0	13565.0	12159.0	11539.0	10625.0	10092.0	9464.0	9017.0	9045.0	8384.0	7870.0	7750.0	7449.0	7050.0	7021.0
A2_12_EKDN220028871-1A_H5J72DSX5_L1.srt.dp_stats	97798999.0	26789405.0	31974328.0	28650025.0	27403060.0	22368382.0	18579965.0	14058665.0	10720283.0	7679646.0	5536508.0	3839978.0	2673769.0	1846360.0	1278032.0	888698.0	626278.0	452451.0	330903.0	253904.0	200597.0	162243.0	133162.0	113089.0	98181.0	85950.0	76820.0	69226.0	62776.0	56475.0	51920.0	47042.0	42466.0	38533.0	35862.0	32742.0	30253.0	28377.0	25530.0	23344.0	21775.0	20030.0	18637.0	17339.0	16329.0	15156.0	14588.0	13383.0	13377.0	12012.0	11456.0	10665.0	10458.0	10018.0	9456.0
A2_13_EKDN220028925-1A_H5J72DSX5_L2.srt.dp_stats	88551908.0	27156960.0	34437575.0	30072520.0	29093593.0	23253402.0	19494122.0	14490094.0	11091130.0	7875235.0	5702536.0	3928217.0	2775976.0	1888422.0	1313328.0	913970.0	651256.0	476413.0	352130.0	267903.0	212262.0	170805.0	140700.0	120397.0	102627.0	88863.0	76939.0	69011.0	60621.0	55017.0	49904.0	44587.0	40288.0	36168.0	32713.0	28394.0	26177.0	24007.0	21828.0	21266.0	19128.0	17914.0	16858.0	15524.0	14780.0	13973.0	13613.0	12018.0	11592.0	11184.0	10783.0	10580.0	9867.0	9376.0	9036.0
A2_14_EKDN220028979-1A_H5J72DSX5_L2.srt.dp_stats	90286658.0	27871212.0	35128557.0	30201074.0	29004184.0	22961312.0	19070478.0	14081262.0	10725652.0	7540507.0	5404504.0	3724652.0	2600493.0	1752057.0	1228009.0	843788.0	603559.0	433649.0	320128.0	239671.0	188206.0	150732.0	125295.0	106733.0	89916.0	77330.0	67396.0	59468.0	53217.0	47333.0	42193.0	37573.0	34963.0	30695.0	28034.0	24827.0	23685.0	21111.0	20333.0	18669.0	17786.0	16524.0	15424.0	14654.0	13673.0	12396.0	12381.0	11078.0	10628.0	9795.0	9651.0	8883.0	8403.0	8192.0	7753.0
A2_1_EKDN220028129-1A_H57WKDSX5_L2.srt.dp_stats	119122635.0	39348800.0	44705333.0	28896747.0	25109141.0	15520528.0	11755705.0	7060184.0	4927956.0	2946330.0	1972522.0	1192056.0	811336.0	513859.0	356135.0	247373.0	182403.0	134128.0	104993.0	82982.0	67863.0	56541.0	46659.0	41564.0	36535.0	32985.0	29423.0	25658.0	22796.0	20885.0	18008.0	17023.0	16285.0	14824.0	13527.0	12216.0	11639.0	10613.0	9515.0	9541.0	8985.0	8672.0	8008.0	7851.0	7299.0	7191.0	6997.0	6566.0	5845.0	5674.0	5619.0	5405.0	4984.0	4935.0	4854.0
A2_2_EKDN220028209-1A_H57WKDSX5_L2.srt.dp_stats	128162962.0	43918001.0	46838736.0	27928153.0	22664210.0	12960222.0	9150349.0	5118436.0	3347909.0	1863311.0	1188836.0	682983.0	444369.0	275960.0	192529.0	130007.0	94155.0	72012.0	56714.0	47660.0	39624.0	33404.0	29317.0	25750.0	23023.0	21028.0	18384.0	16364.0	14925.0	13827.0	12585.0	12421.0	11439.0	10922.0	10557.0	9621.0	9383.0	8895.0	8681.0	8289.0	7959.0	7724.0	6922.0	7146.0	6463.0	6302.0	5769.0	5663.0	5627.0	5303.0	5414.0	5148.0	4924.0	4707.0	4541.0
A2_3_EKDN220028265-1A_H3NGLDSX5_L2.srt.dp_stats	93315761.0	33521804.0	38537095.0	33098026.0	29214176.0	22264536.0	17050625.0	12005366.0	8473073.0	5639689.0	3801143.0	2482562.0	1655584.0	1096555.0	747625.0	517658.0	368074.0	269761.0	204429.0	162081.0	130728.0	107810.0	88465.0	75622.0	65550.0	57692.0	50155.0	44717.0	38512.0	34282.0	31836.0	29306.0	25846.0	23913.0	21928.0	20213.0	18244.0	17242.0	15775.0	14363.0	12678.0	12137.0	11551.0	10981.0	10360.0	9851.0	8996.0	8974.0	8621.0	8105.0	7858.0	7622.0	7153.0	6971.0	6866.0
A2_4_EKDN220028336-1A_H3V53DSX5_L2.srt.dp_stats	77695308.0	22125339.0	28111586.0	28370165.0	28426502.0	25477066.0	22140696.0	17979271.0	14275561.0	10816834.0	8064624.0	5854681.0	4206882.0	2977827.0	2092631.0	1482029.0	1062123.0	758055.0	562018.0	419946.0	322365.0	258557.0	210229.0	176845.0	149052.0	128683.0	111451.0	100200.0	88009.0	78379.0	69693.0	63469.0	56802.0	51273.0	46141.0	41831.0	38498.0	35583.0	32577.0	29617.0	27691.0	26151.0	24992.0	23431.0	21122.0	19974.0	19044.0	17171.0	16242.0	15668.0	14196.0	13567.0	12951.0	12309.0	11957.0
A2_5_EKDN220028407-1A_H5J72DSX5_L1.srt.dp_stats	93358095.0	30892276.0	37261285.0	31328891.0	28874589.0	22141954.0	17718994.0	12754425.0	9365485.0	6458572.0	4517464.0	3040159.0	2078201.0	1411206.0	972141.0	673760.0	479929.0	349680.0	263168.0	205038.0	163102.0	130855.0	111602.0	91831.0	80429.0	69591.0	61338.0	52536.0	47072.0	41326.0	37318.0	33738.0	31269.0	27905.0	26331.0	23494.0	21242.0	19324.0	18371.0	16767.0	16063.0	15799.0	14616.0	13558.0	12427.0	11656.0	11163.0	10944.0	9971.0	9701.0	8930.0	8840.0	8551.0	7915.0	7361.0
A2_7_EKDN220028551-1A_H3NGLDSX5_L2.srt.dp_stats	108469609.0	29840947.0	42427930.0	27031070.0	28442255.0	17968996.0	16020171.0	9939744.0	8027550.0	4940566.0	3746656.0	2316110.0	1708306.0	1087904.0	783408.0	525644.0	388076.0	280095.0	214670.0	164773.0	133267.0	106475.0	89093.0	74942.0	65398.0	57367.0	50190.0	43976.0	40280.0	35878.0	32990.0	29482.0	27468.0	24553.0	23364.0	21328.0	19771.0	17979.0	17055.0	15984.0	15121.0	14084.0	13424.0	12911.0	12209.0	11404.0	10987.0	10346.0	10137.0	9635.0	9035.0	8699.0	8367.0	8247.0	7991.0
